surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.000000000000	[]	GK calc
None	gas	H2	0.000000000000	[]	GK calc
None	gas	H2O	0.000000000000	[]	GK_calc
Cu	100	CO	0.023802	[]	beta=(0.059781858280483484, -0.7938748555908866)
Cu	100	H	0.294523	[]	beta=(-0.01729025402247683, 0.1812203293516176)
Cu	100	H-H2O-ele	1.697141	[]	beta=(0.5015744138792372, -0.5625431579841051) H_to_H2_base 103j
Cu	100	H-H	1.157175	[]	beta=(-0.03582220550930511, 1.037871894241452) H_to_H2_chemical 1239j
Cu	100	H2O-ele	1.311465	[]	beta=(0.43516785821339593, -0.3398875568815079) clean_to_H_base 1043j
Cu	211	CO	0.069479	[]	beta=(-0.000527111148607784, -0.48474645648378445)
Cu	211	H	0.047549	[]	beta=(0.02337267525012133, -0.1436253939978989)
Cu	211	H-H2O-ele	1.162671	[]	beta=(0.42967507327006405, -0.7328659804149328) H_to_H2_base 786j
Cu	211	H-H	1.472550	[]	beta=(0.0907842890771416, 0.7779587394073109) H_to_H2_chemical 1096j
Cu	211	H2O-ele	1.108587	[]	beta=(0.36323579621153623, -0.1699694400844681) clean_to_H_base 762j
